time,ax,ay,az,atotal
4.363,0.51,0.49,-0.48,0.85
4.373,0.97,-0.02,0.03,0.97
4.383,1.46,-0.52,0.33,1.58
4.393,2.18,-0.39,0.70,2.33
4.403,2.56,-0.38,0.90,2.74
4.413,1.59,-0.51,0.20,1.68
4.423,0.32,-0.22,-0.35,0.52
4.433,0.01,-0.31,-0.36,0.48
4.443,-1.84,-1.43,0.43,2.37
4.453,-5.58,-3.01,5.46,8.36
4.463,2.66,3.85,3.22,5.68
4.473,5.11,-3.03,5.29,7.95
4.483,2.28,-3.66,2.03,4.77
4.493,1.05,0.09,-1.89,2.16
4.503,0.42,1.57,-3.11,3.51
4.513,-0.87,1.59,-6.07,6.34
4.523,0.05,1.13,-8.07,8.14
4.533,2.09,0.23,-6.07,6.42
4.543,2.03,0.17,-2.66,3.35
4.553,2.04,-1.21,-0.78,2.50
4.563,1.97,-1.28,-2.01,3.09
4.573,1.55,-0.84,-1.83,2.55
4.583,1.42,-1.87,0.48,2.39
4.593,1.01,-1.99,1.31,2.58
4.603,0.86,-1.55,1.03,2.05
4.613,0.52,-0.80,0.77,1.23
4.623,0.60,-0.54,1.71,1.89
4.633,0.32,0.14,1.64,1.68
4.643,0.24,1.25,0.87,1.54
4.653,0.14,2.26,0.17,2.27
4.663,-0.60,3.32,-1.83,3.83
4.673,-1.12,2.69,-1.11,3.12
4.683,-1.09,1.77,0.01,2.08
4.693,-0.62,1.85,0.86,2.13
4.703,-0.40,2.76,1.24,3.05
4.713,0.21,2.18,0.16,2.20
4.723,-0.01,1.51,0.18,1.53
4.733,0.76,1.04,-0.19,1.30
4.743,1.26,0.77,-0.55,1.58
4.753,0.82,0.74,-0.01,1.11
4.763,0.20,0.20,-0.37,0.47
4.773,0.07,-0.01,-1.16,1.17
4.783,0.01,-0.99,-0.73,1.23
4.793,0.19,-1.85,-2.24,2.91
4.803,-0.28,-0.64,-0.95,1.18
4.813,-0.69,-0.63,0.66,1.14
4.823,-1.39,-0.98,0.03,1.70
4.833,-2.17,-1.16,-0.86,2.60
4.842,-3.33,-1.90,-1.47,4.10
4.853,-3.94,-3.20,-1.63,5.33
4.863,-4.12,-3.45,-2.89,6.10
4.873,-3.71,-2.56,-1.31,4.69
4.882,-3.21,-1.27,0.23,3.46
4.892,-2.13,0.60,1.57,2.71
4.902,-1.44,2.55,1.85,3.46
4.913,-1.28,2.27,1.23,2.88
4.923,-5.17,-4.60,-4.22,8.11
4.932,-6.01,-2.88,-0.77,6.71
4.942,-1.29,1.54,3.88,4.37
4.952,-0.26,0.11,0.84,0.89
4.963,1.47,-4.51,0.70,4.80
4.973,0.21,-0.64,1.94,2.05
4.982,-0.02,1.99,0.59,2.08
4.992,0.21,1.01,-1.31,1.66
5.002,0.21,1.06,-1.66,1.98
5.012,0.06,0.78,-2.01,2.15
5.022,-0.60,0.99,-2.29,2.57
